,k,method,mean_runtime,std_runtime,mean_ssim,std_ssim,mean_psnr,std_psnr,image
0,1,Exact SVD,0.0969170093536377,0.007279120886027285,0.33929324631213054,0.0,12.171941688077235,0.0,Astronaut
1,1,Randomized SVD,0.017538928985595705,0.009559879365645013,0.3392932463121163,1.3978364827383158e-14,12.171941688077235,0.0,Astronaut
2,3,Exact SVD,0.10060653686523438,0.011186711466069438,0.38487677767000383,0.0,14.777294553562887,0.0,Astronaut
3,3,Randomized SVD,0.02501654624938965,0.005173827679105654,0.38487677765977996,2.6398060460036522e-11,14.777294553562887,1.3759600911837627e-15,Astronaut
4,5,Exact SVD,0.09338059425354003,0.002392377829994492,0.41291094076204454,0.0,16.188743728023937,0.0,Astronaut
5,5,Randomized SVD,0.024432611465454102,0.005412862521320713,0.4129109418862412,3.1054642492291593e-09,16.188743728023304,1.1281373634683417e-12,Astronaut
6,8,Exact SVD,0.09570603370666504,0.006166140831427793,0.45175744536930196,5.551115123125783e-17,18.04267996123113,0.0,Astronaut
7,8,Randomized SVD,0.028887271881103516,0.009949920105647622,0.4517575219865278,1.0315609178140517e-07,18.042679960889437,4.2480419359301944e-10,Astronaut
8,10,Exact SVD,0.09674324989318847,0.006262587504358649,0.47345046555210024,0.0,19.028364611595038,0.0,Astronaut
9,10,Randomized SVD,0.029337692260742187,0.010131468566049653,0.47345045751914866,3.347768655043788e-08,19.028364611314526,2.861138138348493e-10,Astronaut
10,13,Exact SVD,0.09437794685363769,0.003244104841496411,0.5056389487372099,0.0,20.16824082569712,0.0,Astronaut
11,13,Randomized SVD,0.027839803695678712,0.008459177376416627,0.5056387871612718,1.0632843739940063e-06,20.168240798444963,2.9702220304929533e-08,Astronaut
12,15,Exact SVD,0.09419765472412109,0.0026121096421227435,0.5281041558556306,0.0,20.816054829929026,0.0,Astronaut
13,15,Randomized SVD,0.030991363525390624,0.006368158304391991,0.5281032517854918,2.402564971838173e-06,20.816054771838548,5.601699236969751e-08,Astronaut
14,1,Exact SVD,0.09568190574645996,0.0026270758094125387,0.4628446646595191,0.0,13.553892274774364,1.7763568394002505e-15,Camera
15,1,Randomized SVD,0.014107418060302735,0.005795444237645252,0.46284466465954327,1.7858982144967258e-14,13.55389227477436,2.6347629809804343e-15,Camera
16,3,Exact SVD,0.0990931510925293,0.008140157508277684,0.508883323659357,0.0,17.784897278230048,0.0,Camera
17,3,Randomized SVD,0.019826841354370118,0.005452541800498063,0.5088833236593177,4.627981690352282e-14,17.784897278230048,1.5888218580782547e-15,Camera
18,5,Exact SVD,0.09647021293640137,0.0016270684480361758,0.5454377684316803,0.0,19.979488213327627,0.0,Camera
19,5,Randomized SVD,0.02115025520324707,0.004073544140089662,0.5454377682133589,1.0633988862261327e-09,19.979488213327617,1.8932997526340824e-14,Camera
20,8,Exact SVD,0.09497709274291992,0.0022233574098829657,0.5718757018601238,0.0,21.300293252423067,0.0,Camera
21,8,Randomized SVD,0.024986982345581055,0.011343872594947723,0.5718756555991706,1.0743658562870978e-07,21.300293251941206,2.7062925928567757e-10,Camera
22,10,Exact SVD,0.09496994018554687,0.0017912074876750034,0.5898249392888406,0.0,22.082487698346057,0.0,Camera
